,Dictor,Name,Type,Sp-hu
240,T4,T4_1000241,human,human
241,T4,T4_1000242,human,human
242,T4,T4_1000243,human,human
243,T4,T4_1000244,human,human
244,T4,T4_1000245,human,human
245,T4,T4_1000246,human,human
246,T4,T4_1000247,human,human
247,T4,T4_1000248,human,human
248,T4,T4_1000249,human,human
249,T4,T4_1000250,human,human
250,T4,T4_1000251,human,human
251,T4,T4_1000252,human,human
252,T4,T4_1000253,human,human
253,T4,T4_1000254,human,human
254,T4,T4_1000255,human,human
255,T4,T4_1000256,human,human
256,T4,T4_1000257,human,human
257,T4,T4_1000258,human,human
258,T4,T4_1000259,human,human
259,T4,T4_1000260,human,human
260,T4,T4_1000261,human,human
261,T4,T4_1000262,human,human
262,T4,T4_1000263,human,human
263,T4,T4_1000264,human,human
264,T4,T4_1000265,human,human
265,T4,T4_1000266,human,human
266,T4,T4_1000267,human,human
267,T4,T4_1000268,human,human
268,T4,T4_1000269,human,human
269,T4,T4_1000270,human,human
270,T4,T4_1000271,human,human
271,T4,T4_1000272,human,human
272,T4,T4_1000273,human,human
273,T4,T4_1000274,human,human
274,T4,T4_1000275,human,human
275,T4,T4_1000276,human,human
276,T4,T4_1000277,human,human
277,T4,T4_1000278,human,human
278,T4,T4_1000279,human,human
279,T4,T4_1000280,human,human
280,T4,T4_1000281,human,human
281,T4,T4_1000282,human,human
282,T4,T4_1000283,human,human
283,T4,T4_1000284,human,human
284,T4,T4_1000285,human,human
285,T4,T4_1000286,human,human
286,T4,T4_1000287,human,human
287,T4,T4_1000288,human,human
288,T4,T4_1000289,human,human
289,T4,T4_1000290,human,human
290,T4,T4_1000291,human,human
291,T4,T4_1000292,human,human
292,T4,T4_1000293,human,human
293,T4,T4_1000294,human,human
294,T4,T4_1000295,human,human
295,T4,T4_1000296,human,human
296,T4,T4_1000297,human,human
297,T4,T4_1000298,human,human
298,T4,T4_1000299,human,human
299,T4,T4_1000300,human,human
300,T5,T5_1000301,human,human
301,T5,T5_1000302,human,human
302,T5,T5_1000303,human,human
303,T5,T5_1000304,human,human
304,T5,T5_1000305,human,human
305,T5,T5_1000306,human,human
306,T5,T5_1000307,human,human
307,T5,T5_1000308,human,human
308,T5,T5_1000309,human,human
309,T5,T5_1000310,human,human
310,T5,T5_1000311,human,human
311,T5,T5_1000312,human,human
312,T5,T5_1000313,human,human
313,T5,T5_1000314,human,human
314,T5,T5_1000315,human,human
315,T5,T5_1000316,human,human
316,T5,T5_1000317,human,human
317,T5,T5_1000318,human,human
318,T5,T5_1000319,human,human
319,T5,T5_1000320,human,human
320,T5,T5_1000321,human,human
321,T5,T5_1000322,human,human
322,T5,T5_1000323,human,human
323,T5,T5_1000324,human,human
324,T5,T5_1000325,human,human
325,T5,T5_1000326,human,human
326,T5,T5_1000327,human,human
327,T5,T5_1000328,human,human
328,T5,T5_1000329,human,human
329,T5,T5_1000330,human,human
330,T5,T5_1000331,human,human
331,T5,T5_1000332,human,human
332,T5,T5_1000333,human,human
333,T5,T5_1000334,human,human
334,T5,T5_1000335,human,human
335,T5,T5_1000336,human,human
336,T5,T5_1000337,human,human
337,T5,T5_1000338,human,human
338,T5,T5_1000339,human,human
339,T5,T5_1000340,human,human
340,T5,T5_1000341,human,human
341,T5,T5_1000342,human,human
342,T5,T5_1000343,human,human
343,T5,T5_1000344,human,human
344,T5,T5_1000345,human,human
345,T5,T5_1000346,human,human
346,T5,T5_1000347,human,human
347,T5,T5_1000348,human,human
348,T5,T5_1000349,human,human
349,T5,T5_1000350,human,human
350,T5,T5_1000351,human,human
351,T5,T5_1000352,human,human
352,T5,T5_1000353,human,human
353,T5,T5_1000354,human,human
354,T5,T5_1000355,human,human
355,T5,T5_1000356,human,human
356,T5,T5_1000357,human,human
357,T5,T5_1000358,human,human
358,T5,T5_1000359,human,human
359,T5,T5_1000360,human,human
360,T5,T5_1000361,human,human
361,T5,T5_1000362,human,human
362,T5,T5_1000363,human,human
363,T5,T5_1000364,human,human
364,T5,T5_1000365,human,human
365,T5,T5_1000366,human,human
366,T5,T5_1000367,human,human
367,T5,T5_1000368,human,human
368,T5,T5_1000369,human,human
369,T5,T5_1000370,human,human
370,T5,T5_1000371,human,human
371,T5,T5_1000372,human,human
372,T5,T5_1000373,human,human
373,T5,T5_1000374,human,human
374,T5,T5_1000375,human,human
375,T5,T5_1000376,human,human
376,T5,T5_1000377,human,human
377,T5,T5_1000378,human,human
378,T5,T5_1000379,human,human
379,T5,T5_1000380,human,human
380,T5,T5_1000381,human,human
381,T5,T5_1000382,human,human
382,T5,T5_1000383,human,human
383,T5,T5_1000384,human,human
384,T5,T5_1000385,human,human
385,T5,T5_1000386,human,human
386,T5,T5_1000387,human,human
387,T5,T5_1000388,human,human
388,T5,T5_1000389,human,human
389,T5,T5_1000390,human,human
390,T5,T5_1000391,human,human
391,T5,T5_1000392,human,human
392,T5,T5_1000393,human,human
393,T5,T5_1000394,human,human
394,T5,T5_1000395,human,human
395,T5,T5_1000396,human,human
396,T5,T5_1000397,human,human
397,T5,T5_1000398,human,human
398,T5,T5_1000399,human,human
399,T5,T5_1000400,human,human
400,T5,T5_1000401,human,human
401,T5,T5_1000402,human,human
402,T5,T5_1000403,human,human
403,T5,T5_1000404,human,human
404,T5,T5_1000405,human,human
405,T5,T5_1000406,human,human
406,T5,T5_1000407,human,human
407,T5,T5_1000408,human,human
408,T5,T5_1000409,human,human
409,T5,T5_1000410,human,human
410,T5,T5_1000411,human,human
411,T5,T5_1000412,human,human
412,T5,T5_1000413,human,human
413,T5,T5_1000414,human,human
414,T5,T5_1000415,human,human
415,T5,T5_1000416,human,human
416,T5,T5_1000417,human,human
417,T5,T5_1000418,human,human
418,T5,T5_1000419,human,human
419,T5,T5_1000420,human,human
420,T5,T5_1000421,human,human
421,T5,T5_1000422,human,human
422,T5,T5_1000423,human,human
423,T5,T5_1000424,human,human
424,T5,T5_1000425,human,human
425,T5,T5_1000426,human,human
426,T5,T5_1000427,human,human
427,T5,T5_1000428,human,human
428,T5,T5_1000429,human,human
429,T5,T5_1000430,human,human
430,T5,T5_1000431,human,human
431,T5,T5_1000432,human,human
432,T5,T5_1000433,human,human
433,T5,T5_1000434,human,human
434,T5,T5_1000435,human,human
435,T5,T5_1000436,human,human
436,T5,T5_1000437,human,human
437,T5,T5_1000438,human,human
438,T5,T5_1000439,human,human
439,T5,T5_1000440,human,human
440,T5,T5_1000441,human,human
441,T5,T5_1000442,human,human
442,T5,T5_1000443,human,human
443,T5,T5_1000444,human,human
444,T5,T5_1000445,human,human
445,T5,T5_1000446,human,human
446,T5,T5_1000447,human,human
447,T5,T5_1000448,human,human
448,T5,T5_1000449,human,human
449,T5,T5_1000450,human,human
450,T7,T7_1000451,human,human
451,T7,T7_1000452,human,human
452,T7,T7_1000453,human,human
453,T7,T7_1000454,human,human
454,T7,T7_1000455,human,human
455,T7,T7_1000456,human,human
456,T7,T7_1000457,human,human
457,T7,T7_1000458,human,human
458,T7,T7_1000459,human,human
459,T7,T7_1000460,human,human
460,T7,T7_1000461,human,human
461,T7,T7_1000462,human,human
462,T7,T7_1000463,human,human
463,T7,T7_1000464,human,human
464,T7,T7_1000465,human,human
465,T7,T7_1000466,human,human
466,T7,T7_1000467,human,human
467,T7,T7_1000468,human,human
468,T7,T7_1000469,human,human
469,T7,T7_1000470,human,human
470,T7,T7_1000471,human,human
471,T7,T7_1000472,human,human
472,T7,T7_1000473,human,human
473,T7,T7_1000474,human,human
474,T7,T7_1000475,human,human
475,T7,T7_1000476,human,human
476,T7,T7_1000477,human,human
477,T7,T7_1000478,human,human
478,T7,T7_1000479,human,human
479,T7,T7_1000480,human,human
480,T7,T7_1000481,human,human
481,T7,T7_1000482,human,human
482,T7,T7_1000483,human,human
483,T7,T7_1000484,human,human
484,T7,T7_1000485,human,human
485,T7,T7_1000486,human,human
486,T7,T7_1000487,human,human
487,T7,T7_1000488,human,human
488,T7,T7_1000489,human,human
489,T7,T7_1000490,human,human
490,T7,T7_1000491,human,human
491,T7,T7_1000492,human,human
492,T7,T7_1000493,human,human
493,T7,T7_1000494,human,human
494,T7,T7_1000495,human,human
495,T7,T7_1000496,human,human
496,T7,T7_1000497,human,human
497,T7,T7_1000498,human,human
498,T7,T7_1000499,human,human
499,T7,T7_1000500,human,human
500,T7,T7_1000501,human,human
501,T7,T7_1000502,human,human
502,T7,T7_1000503,human,human
503,T7,T7_1000504,human,human
504,T7,T7_1000505,human,human
505,T7,T7_1000506,human,human
506,T7,T7_1000507,human,human
507,T7,T7_1000508,human,human
508,T7,T7_1000509,human,human
509,T7,T7_1000510,human,human
510,T7,T7_1000511,human,human
511,T7,T7_1000512,human,human
512,T7,T7_1000513,human,human
513,T7,T7_1000514,human,human
514,T7,T7_1000515,human,human
515,T7,T7_1000516,human,human
516,T7,T7_1000517,human,human
517,T7,T7_1000518,human,human
518,T7,T7_1000519,human,human
519,T7,T7_1000520,human,human
520,T7,T7_1000521,human,human
521,T7,T7_1000522,human,human
522,T7,T7_1000523,human,human
523,T7,T7_1000524,human,human
524,T7,T7_1000525,human,human
525,T7,T7_1000526,human,human
526,T7,T7_1000527,human,human
527,T7,T7_1000528,human,human
528,T7,T7_1000529,human,human
529,T7,T7_1000530,human,human
530,T7,T7_1000531,human,human
531,T7,T7_1000532,human,human
532,T7,T7_1000533,human,human
533,T7,T7_1000534,human,human
534,T7,T7_1000535,human,human
535,T7,T7_1000536,human,human
536,T7,T7_1000537,human,human
537,T7,T7_1000538,human,human
538,T7,T7_1000539,human,human
539,T7,T7_1000540,human,human
540,T7,T7_1000541,human,human
541,T7,T7_1000542,human,human
542,T7,T7_1000543,human,human
543,T7,T7_1000544,human,human
544,T7,T7_1000545,human,human
545,T7,T7_1000546,human,human
546,T7,T7_1000547,human,human
547,T7,T7_1000548,human,human
548,T7,T7_1000549,human,human
549,T7,T7_1000550,human,human
550,T7,T7_1000551,human,human
551,T7,T7_1000552,human,human
552,T7,T7_1000553,human,human
553,T7,T7_1000554,human,human
554,T7,T7_1000555,human,human
555,T7,T7_1000556,human,human
556,T7,T7_1000557,human,human
557,T7,T7_1000558,human,human
558,T7,T7_1000559,human,human
559,T7,T7_1000560,human,human
560,T7,T7_1000561,human,human
561,T7,T7_1000562,human,human
562,T7,T7_1000563,human,human
563,T7,T7_1000564,human,human
564,T7,T7_1000565,human,human
565,T7,T7_1000566,human,human
566,T7,T7_1000567,human,human
567,T7,T7_1000568,human,human
568,T7,T7_1000569,human,human
569,T7,T7_1000570,human,human
570,T7,T7_1000571,human,human
571,T7,T7_1000572,human,human
572,T7,T7_1000573,human,human
573,T7,T7_1000574,human,human
574,T7,T7_1000575,human,human
575,T7,T7_1000576,human,human
576,T7,T7_1000577,human,human
577,T7,T7_1000578,human,human
578,T7,T7_1000579,human,human
579,T7,T7_1000580,human,human
580,T7,T7_1000581,human,human
581,T7,T7_1000582,human,human
582,T7,T7_1000583,human,human
583,T7,T7_1000584,human,human
584,T7,T7_1000585,human,human
585,T7,T7_1000586,human,human
586,T7,T7_1000587,human,human
587,T7,T7_1000588,human,human
588,T7,T7_1000589,human,human
589,T7,T7_1000590,human,human
590,T7,T7_1000591,human,human
591,T7,T7_1000592,human,human
592,T7,T7_1000593,human,human
593,T7,T7_1000594,human,human
594,T7,T7_1000595,human,human
595,T7,T7_1000596,human,human
596,T7,T7_1000597,human,human
597,T7,T7_1000598,human,human
598,T7,T7_1000599,human,human
599,T7,T7_1000600,human,human
600,T9,T9_1000601,human,human
601,T9,T9_1000602,human,human
602,T9,T9_1000603,human,human
603,T9,T9_1000604,human,human
604,T9,T9_1000605,human,human
605,T9,T9_1000606,human,human
606,T9,T9_1000607,human,human
607,T9,T9_1000608,human,human
608,T9,T9_1000609,human,human
609,T9,T9_1000610,human,human
610,T9,T9_1000611,human,human
611,T9,T9_1000612,human,human
612,T9,T9_1000613,human,human
613,T9,T9_1000614,human,human
614,T9,T9_1000615,human,human
615,T9,T9_1000616,human,human
616,T9,T9_1000617,human,human
617,T9,T9_1000618,human,human
618,T9,T9_1000619,human,human
619,T9,T9_1000620,human,human
620,T9,T9_1000621,human,human
621,T9,T9_1000622,human,human
622,T9,T9_1000623,human,human
623,T9,T9_1000624,human,human
624,T9,T9_1000625,human,human
625,T9,T9_1000626,human,human
626,T9,T9_1000627,human,human
627,T9,T9_1000628,human,human
628,T9,T9_1000629,human,human
629,T9,T9_1000630,human,human
630,T9,T9_1000631,human,human
631,T9,T9_1000632,human,human
632,T9,T9_1000633,human,human
633,T9,T9_1000634,human,human
634,T9,T9_1000635,human,human
635,T9,T9_1000636,human,human
636,T9,T9_1000637,human,human
637,T9,T9_1000638,human,human
638,T9,T9_1000639,human,human
639,T9,T9_1000640,human,human
640,T9,T9_1000641,human,human
641,T9,T9_1000642,human,human
642,T9,T9_1000643,human,human
643,T9,T9_1000644,human,human
644,T9,T9_1000645,human,human
645,T9,T9_1000646,human,human
646,T9,T9_1000647,human,human
647,T9,T9_1000648,human,human
648,T9,T9_1000649,human,human
649,T9,T9_1000650,human,human
650,T9,T9_1000651,human,human
651,T9,T9_1000652,human,human
652,T9,T9_1000653,human,human
653,T9,T9_1000654,human,human
654,T9,T9_1000655,human,human
655,T9,T9_1000656,human,human
656,T9,T9_1000657,human,human
657,T9,T9_1000658,human,human
658,T9,T9_1000659,human,human
659,T9,T9_1000660,human,human
660,T9,T9_1000661,human,human
661,T9,T9_1000662,human,human
662,T9,T9_1000663,human,human
663,T9,T9_1000664,human,human
664,T9,T9_1000665,human,human
665,T9,T9_1000666,human,human
666,T9,T9_1000667,human,human
667,T9,T9_1000668,human,human
668,T9,T9_1000669,human,human
669,T9,T9_1000670,human,human
670,T9,T9_1000671,human,human
671,T9,T9_1000672,human,human
672,T9,T9_1000673,human,human
673,T9,T9_1000674,human,human
674,T9,T9_1000675,human,human
675,T9,T9_1000676,human,human
676,T9,T9_1000677,human,human
677,T9,T9_1000678,human,human
678,T9,T9_1000679,human,human
679,T9,T9_1000680,human,human
680,T9,T9_1000681,human,human
681,T9,T9_1000682,human,human
682,T9,T9_1000683,human,human
683,T9,T9_1000684,human,human
684,T9,T9_1000685,human,human
685,T9,T9_1000686,human,human
686,T9,T9_1000687,human,human
687,T9,T9_1000688,human,human
688,T9,T9_1000689,human,human
689,T9,T9_1000690,human,human
690,T9,T9_1000691,human,human
691,T9,T9_1000692,human,human
692,T9,T9_1000693,human,human
693,T9,T9_1000694,human,human
694,T9,T9_1000695,human,human
695,T9,T9_1000696,human,human
696,T9,T9_1000697,human,human
697,T9,T9_1000698,human,human
698,T9,T9_1000699,human,human
699,T9,T9_1000700,human,human
700,T9,T9_1000701,human,human
701,T9,T9_1000702,human,human
702,T9,T9_1000703,human,human
703,T9,T9_1000704,human,human
704,T9,T9_1000705,human,human
705,T9,T9_1000706,human,human
706,T9,T9_1000707,human,human
707,T9,T9_1000708,human,human
708,T9,T9_1000709,human,human
709,T9,T9_1000710,human,human
710,T9,T9_1000711,human,human
711,T9,T9_1000712,human,human
712,T9,T9_1000713,human,human
713,T9,T9_1000714,human,human
714,T9,T9_1000715,human,human
715,T9,T9_1000716,human,human
716,T9,T9_1000717,human,human
717,T9,T9_1000718,human,human
718,T9,T9_1000719,human,human
719,T9,T9_1000720,human,human
720,T9,T9_1000721,human,human
721,T9,T9_1000722,human,human
722,T9,T9_1000723,human,human
723,T9,T9_1000724,human,human
724,T9,T9_1000725,human,human
725,T9,T9_1000726,human,human
726,T9,T9_1000727,human,human
727,T9,T9_1000728,human,human
728,T9,T9_1000729,human,human
729,T9,T9_1000730,human,human
730,T9,T9_1000731,human,human
731,T9,T9_1000732,human,human
732,T9,T9_1000733,human,human
733,T9,T9_1000734,human,human
734,T9,T9_1000735,human,human
735,T9,T9_1000736,human,human
736,T9,T9_1000737,human,human
737,T9,T9_1000738,human,human
738,T9,T9_1000739,human,human
739,T9,T9_1000740,human,human
740,T9,T9_1000741,human,human
741,T9,T9_1000742,human,human
742,T9,T9_1000743,human,human
743,T9,T9_1000744,human,human
744,T9,T9_1000745,human,human
745,T9,T9_1000746,human,human
746,T9,T9_1000747,human,human
747,T9,T9_1000748,human,human
748,T9,T9_1000749,human,human
749,T9,T9_1000750,human,human
750,T10,T10_1000751,human,human
751,T10,T10_1000752,human,human
752,T10,T10_1000753,human,human
753,T10,T10_1000754,human,human
754,T10,T10_1000755,human,human
755,T10,T10_1000756,human,human
756,T10,T10_1000757,human,human
757,T10,T10_1000758,human,human
758,T10,T10_1000759,human,human
759,T10,T10_1000760,human,human
760,T10,T10_1000761,human,human
761,T10,T10_1000762,human,human
762,T10,T10_1000763,human,human
763,T10,T10_1000764,human,human
764,T10,T10_1000765,human,human
765,T10,T10_1000766,human,human
766,T10,T10_1000767,human,human
767,T10,T10_1000768,human,human
768,T10,T10_1000769,human,human
769,T10,T10_1000770,human,human
770,T10,T10_1000771,human,human
771,T10,T10_1000772,human,human
772,T10,T10_1000773,human,human
773,T10,T10_1000774,human,human
774,T10,T10_1000775,human,human
775,T10,T10_1000776,human,human
776,T10,T10_1000777,human,human
777,T10,T10_1000778,human,human
778,T10,T10_1000779,human,human
779,T10,T10_1000780,human,human
780,T10,T10_1000781,human,human
781,T10,T10_1000782,human,human
782,T10,T10_1000783,human,human
783,T10,T10_1000784,human,human
784,T10,T10_1000785,human,human
785,T10,T10_1000786,human,human
786,T10,T10_1000787,human,human
787,T10,T10_1000788,human,human
788,T10,T10_1000789,human,human
789,T10,T10_1000790,human,human
790,T10,T10_1000791,human,human
791,T10,T10_1000792,human,human
792,T10,T10_1000793,human,human
793,T10,T10_1000794,human,human
794,T10,T10_1000795,human,human
795,T10,T10_1000796,human,human
796,T10,T10_1000797,human,human
797,T10,T10_1000798,human,human
798,T10,T10_1000799,human,human
799,T10,T10_1000800,human,human
800,T10,T10_1000801,human,human
801,T10,T10_1000802,human,human
802,T10,T10_1000803,human,human
803,T10,T10_1000804,human,human
804,T10,T10_1000805,human,human
805,T10,T10_1000806,human,human
806,T10,T10_1000807,human,human
807,T10,T10_1000808,human,human
808,T10,T10_1000809,human,human
809,T10,T10_1000810,human,human
810,T10,T10_1000811,human,human
811,T10,T10_1000812,human,human
812,T10,T10_1000813,human,human
813,T10,T10_1000814,human,human
814,T10,T10_1000815,human,human
815,T10,T10_1000816,human,human
816,T10,T10_1000817,human,human
817,T10,T10_1000818,human,human
818,T10,T10_1000819,human,human
819,T10,T10_1000820,human,human
820,T10,T10_1000821,human,human
821,T10,T10_1000822,human,human
822,T10,T10_1000823,human,human
823,T10,T10_1000824,human,human
824,T10,T10_1000825,human,human
825,T10,T10_1000826,human,human
826,T10,T10_1000827,human,human
827,T10,T10_1000828,human,human
828,T10,T10_1000829,human,human
829,T10,T10_1000830,human,human
830,T10,T10_1000831,human,human
831,T10,T10_1000832,human,human
832,T10,T10_1000833,human,human
833,T10,T10_1000834,human,human
834,T10,T10_1000835,human,human
835,T10,T10_1000836,human,human
836,T10,T10_1000837,human,human
837,T10,T10_1000838,human,human
838,T10,T10_1000839,human,human
839,T10,T10_1000840,human,human
840,T10,T10_1000841,human,human
841,T10,T10_1000842,human,human
842,T10,T10_1000843,human,human
843,T10,T10_1000844,human,human
844,T10,T10_1000845,human,human
845,T10,T10_1000846,human,human
846,T10,T10_1000847,human,human
847,T10,T10_1000848,human,human
848,T10,T10_1000849,human,human
849,T10,T10_1000850,human,human
850,T10,T10_1000851,human,human
851,T10,T10_1000852,human,human
852,T10,T10_1000853,human,human
853,T10,T10_1000854,human,human
854,T10,T10_1000855,human,human
855,T10,T10_1000856,human,human
856,T10,T10_1000857,human,human
857,T10,T10_1000858,human,human
858,T10,T10_1000859,human,human
859,T10,T10_1000860,human,human
860,T10,T10_1000861,human,human
861,T10,T10_1000862,human,human
862,T10,T10_1000863,human,human
863,T10,T10_1000864,human,human
864,T10,T10_1000865,human,human
865,T10,T10_1000866,human,human
866,T10,T10_1000867,human,human
867,T10,T10_1000868,human,human
868,T10,T10_1000869,human,human
869,T10,T10_1000870,human,human
870,T10,T10_1000871,human,human
871,T10,T10_1000872,human,human
